설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,휴지통종류,관리기관명,관리기관전화번호,데이터기준일자
하계역 미성아파트(6동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 공릉로59길 28,,37.6342349,127.0696715,,일반쓰레기,서울특별시 노원구청,,2025-03-26
하계역 5번출구 버스정류장,서울특별시,노원구,서울특별시 노원구 섬밭로 210-2,,37.63488722,127.0662096,,일반쓰레기,서울특별시 노원구청,,2025-03-26
하계역 세이브존 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로 57,,37.63662358,127.0689153,,일반쓰레기,서울특별시 노원구청,,2025-03-26
서울과학기술대입구(하계미성아파트방면)버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1104,,37.62849889,127.0718707,,일반쓰레기,서울특별시 노원구청,,2025-03-26
동일로 1101(KB국민은행) 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1101,,37.62825426,127.0710099,,일반쓰레기,서울특별시 노원구청,,2025-03-26
동일로 1082(대우직업능력개발원) 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1082,,37.64100553,127.0721484,,일반쓰레기,서울특별시 노원구청,,2025-03-26
공릉시장(공릉역1번출구방면)버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1038,,37.62279121,127.0742399945,,일반쓰레기,서울특별시 노원구청,,2025-03-26
"서울생활사박물관,농협앞 버스정류장",서울특별시,노원구,서울특별시 노원구 화랑로 457,,37.61875199,127.0778767,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계동 820(서울교통공사창동차량사업소) 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1449,,37.65748572,127.0588513,,일반쓰레기,서울특별시 노원구청,,2025-03-26
도봉운전면허시험장 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1426-3,,37.65595916,127.0603291,,일반쓰레기,서울특별시 노원구청,,2025-03-26
수락산역 4번출구(동일로 1669 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1669,,37.67745849,127.054894,,일반쓰레기,서울특별시 노원구청,,2025-03-26
수락산역 3번출구(동일로 1668 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 동일로 1668,,37.67713768,127.0555972,,일반쓰레기,서울특별시 노원구청,,2025-03-26
당고개역(상계동 111-484 앞) 버스정류장,서울특별시,노원구,,서울특별시 노원구 상계동 111-484,37.64100553,127.0721484,,일반쓰레기,서울특별시 노원구청,,2025-03-26
당고개역(상계로 312-1 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 상계로 312-1,,37.67041582,127.0800568,,일반쓰레기,서울특별시 노원구청,,2025-03-26
은곡초교입구교차로,서울특별시,노원구,서울특별시 노원구 한글비석로 463,,37.66421635,127.0664373,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노해로 456 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 노해로 456,,37.65358729,127.0587983,,일반쓰레기,서울특별시 노원구청,,2025-03-26
노원에코센터(상계동 770-2) 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 덕릉로 460,,37.64438255,127.059922,,일반쓰레기,서울특별시 노원구청,,2025-03-26
민들레공원,서울특별시,노원구,서울특별시 노원구 노원로 564,,37.66165211,127.0561247,,일반쓰레기,서울특별시 노원구청,,2025-03-26
광운대학교(광운로 20 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 광운로 20,,37.61932035,127.0583381,,일반쓰레기,서울특별시 노원구청,,2025-03-26
광운대역 3번출구 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 석계로 98-2,,37.62303356,127.0617635,,일반쓰레기,서울특별시 노원구청,,2025-03-26
월계한일1차아파트 앞 버스정류장,서울특별시,노원구,서울특별시 노원구 석계로15길 25,,37.62206287,127.0613425,,일반쓰레기,서울특별시 노원구청,,2025-03-26
월계로 55길 16(월계사슴2단지 205동 앞) 버스정류장,서울특별시,노원구,서울특별시 노원구 월계로 55길 16,,37.63266533,127.0608256,,일반쓰레기,서울특별시 노원구청,,2025-03-26
중계1동주민센터(은행사거리방면)버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로 269,,37.65171822,127.0767882,,일반쓰레기,서울특별시 노원구청,,2025-03-26
"두타빌A,B동사이",서울특별시,노원구,서울특별시 노원구 한글비석로 245,,37.6492608,127.0763611,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계역(상계동주유소방면)버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로 384,,37.6598085,127.0732399702,,일반쓰레기,서울특별시 노원구청,,2025-03-26
상계역(중계주공3단지방면)버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로 383,,37.65911197,127.073075,,일반쓰레기,서울특별시 노원구청,,2025-03-26
은행사거리(신한은행중계동지점방면)버스정류장,서울특별시,노원구,서울특별시 노원구 한글비석로 250,,37.65002891,127.077012,,일반쓰레기,서울특별시 노원구청,,2025-03-26
